0; 32768; 65536; 32768; 55938; 
10; 33095; 65534; 32440; 55705; 
20; 33423; 65529; 32112; 55470; 
30; 33750; 65521; 31785; 55233; 
40; 34078; 65509; 31457; 54993; 
50; 34405; 65495; 31130; 54751; 
60; 34732; 65477; 30803; 54507; 
70; 35059; 65455; 30476; 54261; 
80; 35386; 65431; 30149; 54012; 
90; 35713; 65403; 29822; 53762; 
100; 36039; 65372; 29496; 53509; 
110; 36365; 65337; 29170; 53254; 
120; 36690; 65300; 28845; 52998; 
130; 37015; 65259; 28520; 52739; 
140; 37340; 65215; 28195; 52478; 
150; 37664; 65168; 27871; 52215; 
160; 37988; 65117; 27547; 51951; 
170; 38311; 65063; 27224; 51684; 
180; 38634; 65006; 26901; 51415; 
190; 38956; 64946; 26579; 51145; 
200; 39277; 64882; 26258; 50873; 
210; 39598; 64816; 25937; 50599; 
220; 39918; 64746; 25617; 50323; 
230; 40238; 64673; 25297; 50045; 
240; 40557; 64596; 24978; 49766; 
250; 40874; 64517; 24661; 49485; 
260; 41192; 64434; 24343; 49203; 
270; 41508; 64348; 24027; 48918; 
280; 41823; 64259; 23712; 48632; 
290; 42138; 64167; 23397; 48345; 
300; 42451; 64072; 23084; 48056; 
310; 42764; 63974; 22771; 47765; 
320; 43075; 63872; 22460; 47473; 
330; 43386; 63767; 22149; 47180; 
340; 43695; 63660; 21840; 46885; 
350; 44004; 63549; 21531; 46588; 
360; 44311; 63435; 21224; 46290; 
370; 44617; 63318; 20918; 45991; 
380; 44922; 63198; 20613; 45691; 
390; 45226; 63075; 20309; 45389; 
400; 45528; 62949; 20007; 45086; 
410; 45829; 62820; 19706; 44782; 
420; 46129; 62688; 19406; 44476; 
430; 46428; 62552; 19107; 44170; 
440; 46725; 62414; 18810; 43862; 
450; 47020; 62273; 18515; 43553; 
460; 47315; 62129; 18220; 43243; 
470; 47608; 61982; 17927; 42932; 
480; 47899; 61833; 17636; 42620; 
490; 48189; 61680; 17346; 42307; 
500; 48477; 61524; 17058; 41993; 
510; 48764; 61366; 16771; 41678; 
520; 49049; 61204; 16486; 41362; 
530; 49333; 61040; 16202; 41046; 
540; 49615; 60873; 15920; 40728; 
550; 49895; 60703; 15640; 40410; 
560; 50173; 60530; 15362; 40091; 
570; 50450; 60355; 15085; 39771; 
580; 50725; 60177; 14810; 39451; 
590; 50998; 59996; 14537; 39130; 
600; 51270; 59812; 14265; 38808; 
610; 51539; 59626; 13996; 38486; 
620; 51807; 59437; 13728; 38163; 
630; 52073; 59245; 13462; 37839; 
640; 52336; 59051; 13199; 37515; 
650; 52598; 58854; 12937; 37191; 
660; 52858; 58654; 12677; 36866; 
670; 53116; 58452; 12419; 36540; 
680; 53372; 58247; 12163; 36215; 
690; 53626; 58040; 11909; 35889; 
700; 53877; 57830; 11658; 35562; 
710; 54127; 57618; 11408; 35236; 
720; 54374; 57403; 11161; 34909; 
730; 54619; 57185; 10916; 34582; 
740; 54863; 56966; 10672; 34255; 
750; 55103; 56743; 10432; 33927; 
760; 55342; 56519; 10193; 33600; 
770; 55578; 56292; 9957; 33272; 
780; 55813; 56063; 9722; 32944; 
790; 56044; 55831; 9491; 32617; 
800; 56274; 55597; 9261; 32289; 
810; 56501; 55361; 9034; 31961; 
820; 56726; 55123; 8809; 31634; 
830; 56948; 54882; 8587; 31306; 
840; 57168; 54639; 8367; 30979; 
850; 57385; 54394; 8150; 30652; 
860; 57600; 54147; 7935; 30325; 
870; 57813; 53897; 7722; 29999; 
880; 58023; 53646; 7512; 29672; 
890; 58231; 53392; 7304; 29346; 
900; 58436; 53136; 7099; 29020; 
910; 58638; 52879; 6897; 28695; 
920; 58838; 52619; 6697; 28370; 
930; 59035; 52357; 6500; 28046; 
940; 59230; 52094; 6305; 27722; 
950; 59421; 51828; 6114; 27398; 
960; 59611; 51561; 5924; 27075; 
970; 59797; 51291; 5738; 26753; 
980; 59981; 51020; 5554; 26431; 
990; 60162; 50747; 5373; 26110; 
1000; 60341; 50472; 5194; 25789; 
1010; 60516; 50196; 5019; 25469; 
1020; 60689; 49917; 4846; 25150; 
1030; 60859; 49637; 4676; 24832; 
1040; 61027; 49355; 4508; 24515; 
